variable,n,media,mediana,desviacion,minimo,maximo
alteracion_sueno,353,2.7705382436260626,3,1.2752156655098301,1,5
ansiedad,353,2.637393767705382,3,1.2985857716910048,1,5
asistencia,353,86.29288637079007,90,16.164751432389135,7,100
autoestima,353,2.9745042492917846,3,1.1831805871583922,1,5
depresion,353,2.804532577903683,3,1.3667237990273333,1,5
distraccion_acad,353,2.759206798866855,3,1.402648243971836,1,5
edad,353,21.382436260623233,21,2.169894153796778,17,37
horas_estudio,353,3.1660056657223787,3,2.093225651355595,0,12
horas_redes,353,4.117759491954861,3.5,2.6417322750384695,0,20
promedio,353,4.094022662889518,3.9699999999999998,0.6588805240250164,1.8900000000000001,5
