cat_horas_redes,distraccion_grupo,n,promedio_medio,etiqueta
0-2 h,Distr. 1,33,4.329090909090909,"4.33
(n=33)"
0-2 h,Distr. 2,15,4.342666666666666,"4.34
(n=15)"
0-2 h,Distr. 3,23,4.1573913043478266,"4.16
(n=23)"
0-2 h,Distr. 4,14,3.9664285714285716,"3.97
(n=14)"
0-2 h,Distr. 5,13,3.916153846153846,"3.92
(n=13)"
2-4 h,Distr. 1,31,4.27258064516129,"4.27
(n=31)"
2-4 h,Distr. 2,24,4.15875,"4.16
(n=24)"
2-4 h,Distr. 3,33,4.0612121212121215,"4.06
(n=33)"
2-4 h,Distr. 4,20,3.977,"3.98
(n=20)"
2-4 h,Distr. 5,13,4.023846153846154,"4.02
(n=13)"
4-6 h,Distr. 1,21,4.154285714285714,"4.15
(n=21)"
4-6 h,Distr. 2,14,3.789285714285714,"3.79
(n=14)"
4-6 h,Distr. 3,15,4.256666666666667,"4.26
(n=15)"
4-6 h,Distr. 4,20,3.7035,"3.7
(n=20)"
4-6 h,Distr. 5,12,4.08,"4.08
(n=12)"
>6 h,Distr. 1,10,3.956,"3.96
(n=10)"
>6 h,Distr. 2,9,4.022222222222222,"4.02
(n=9)"
>6 h,Distr. 3,10,4.22,"4.22
(n=10)"
>6 h,Distr. 4,9,4.174444444444444,"4.17
(n=9)"
>6 h,Distr. 5,14,3.8785714285714286,"3.88
(n=14)"
